taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus,taxon_group,threatened_species_body,conservation_status,listed_names,conservation_status_cleaned
82674,Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",wa_wc_act,Critically Endangered,Engaewa pseudoreducta,Critically Endangered
82674,Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
82675,Engaewa reducta,Dunsborough Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",wa_wc_act,Endangered,Engaewa reducta,Endangered
82675,Engaewa reducta,Dunsborough Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
82676,Engaewa walpolea,Walpole Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",wa_wc_act,Endangered,Engaewa walpolea,Endangered
82676,Engaewa walpolea,Walpole Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaewa,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
86593,Eodiaptomus lumholtzi,copepod,Animalia,Arthropoda,Crustacea,Calanoida,Diaptomidae,Eodiaptomus,crustaceans,iucn_red_list,Vulnerable,NA,Vulnerable
58640,Episynlestes intermedius,NA,Animalia,Arthropoda,Insecta,Odonata,Synlestidae,Episynlestes,insects,iucn_red_list,Vulnerable,NA,Vulnerable
81537,Euastacus armatus,Murray Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",act_nc_act,Vulnerable,Euastacus armatus,Vulnerable
81537,Euastacus armatus,Murray Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",nsw_tsc_act_and_fm_act,Vulnerable,Euastacus armatus,Vulnerable
81537,Euastacus armatus,Murray Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Threatened,Euastacus armatus,Threatened
86595,Euastacus balanensis,Balan Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83136,Euastacus bidawalus,"Bidhawal Crayfish, Bidawal Crayfish, East Gippsland Spiny Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Vulnerable,Euastacus bidawalus,Vulnerable
83136,Euastacus bidawalus,"Bidhawal Crayfish, Bidawal Crayfish, East Gippsland Spiny Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
86598,Euastacus bindal,Mt Elliot Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Critically Endangered,Euastacus bindal,Critically Endangered
86598,Euastacus bindal,Mt Elliot Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
90755,Euastacus binzayedi,Embezee's Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Critically Endangered,Euastacus binzayedi,Critically Endangered
81552,Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Euastacus bispinosus,Endangered
81552,Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Vulnerable,NA,Vulnerable
83137,Euastacus brachythorax,Short Thorax Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83138,Euastacus clarkae,"Ellen Clark's Crayfish, Clark's Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
